"ahoj (při loučení), na shledanou",bye,baɪ,phr
"ahoj, čau (při setkání)",hi,haɪ,phr
americký,American,ə'merɪkən,adj
"anglický, angličtina",English,'ɪŋglɪʃ,adj
Angličan,English,'iŋgliʃ,n
"auto (osobní), vůz",car,kɑ:(r),n
babička,grandmother,'grænmʌðə(r),n
"blízko, poblíž",near,nɪə(r),prep
blog (na internetu),blog,blɒg,n
"bohudík, naštěstí, zaplaťpánbůh,",thank goodness,'θæŋk 'gʊdnəs,
bratr,brother,'brʌðə(r),n
"bratranec, sestřenice",cousin,'kʌzn,n
"centrum, střed",centre,'sentə(r),n
"děda, dědeček",grandfather,'grænfɑ:ðə(r),n
děkuji,thanks,θæŋks,
děti,children,'ʧildrən,n
"děvče, dívka",girl,gɜ:l,n
"dívka, přítelkyně chlapce, milá, milenka",girlfriend,'gɜ:lfrend,n
dnes,today,tə'deɪ,adv
dobré dopoledne,good morning,gʊd 'mɔ:nɪŋ,phr
dobré odpoledne,good afternoon,"gʊd ,ɑ:ftə'nu:n",phr
dobré ráno,good morning,gʊd 'mɔ:nɪŋ,phr
dobrou noc,good night,",gʊd'naɪt",phr
dobrý (~ v něčem),good (~ at st),gʊd,adj
doma,home (at home),hoʊm,n
"domácí úloha, domácí úkol",homework,'həʊmwɜ:k,n
"drahoušek, miláček, zlatíčko",darling,'dɑ:lɪŋ,n
"drahý, nákladný",expensive,ɪk'spensɪv,adj
"dům, domek",house,haʊs,n
Egypt,Egypt,'i:dʒɪpt,n
e-mail,e-mail,'i:meɪl,n
emailová adresa,email address,'i:meɪl ə'drəs,n
Evropa,Europe,'juərəp,n
francouzský,French,frenʧ,adj
"francouzština, Francouzi",French,frenʃ,
galerie,gallery,'gæləri,n
hláskovat,spell,spel,v
"horký, teplý",hot,hɒt,adj
"chladný, studený",cold,kəʊld,adj
"Ital, Italka",Italian,ɪ'tæɪən,n
"italský, italština",Italian,ɪ'tæɪən,adj
"jaký, který, co",what,wɒt,pron
Japonsko,Japan,dʒæ'pæn,n
"jazyk, řeč",language,'læŋgwɪdʒ,n
"je, jim (4. pád zájmena oni)",them,ðem,pron
jeho,his,hɪz,pron
její,her,hɜ:(r),pron
jídlo,meal,mi:l,n
jméno,name,neɪm,n
"kancelář, úřad",office,'ɒfɪs,n
"kavárna, denní bar",coffee bar,'kɒfɪ bɑ:(r),n
"kavárna, restaurace (levná)",café,'kæfeɪ,n
"kde, kam, odkud",where,weə(r),pron
"krásná, nádherná (popis ženy, ne muže)",beautiful,'bju:tɪfl,adj
křestní jméno,first name,fɜ:st neɪm,n
"laciný, levný",cheap,ʧi:p,adj
"lékař, doktor",doctor,'dɒktə(r),n
lidé,people,'pi:pl,n
Maďarsko,Hungary,'hʌŋgəri,n
malý,small,smɔ:l,adj
manžel,husband,'hʌzbənd,n
manželka,wife,waɪf,n
matka,mother,'mʌðə(r),n
město (velké nebo významné),city,'siti,n
Mexiko,Mexico,'meksɪkəʊ,n
mezinárodní,international,",ɪntə'næʃnəl",adj
"milovat, mít hodně rád",love,lʌv,v
místo,place,pleɪs,n
"mít rád, líbit se",like,laɪk,v
mladý,young,jʌŋ,adj
"mluvit, hovořit (hovořím např. pouze já)",speak,spi:k,v
muzeum,museum,mju:'zɪəm,n
nakupování,shopping,'ʃɒpɪŋ,n
"nashledanou, sbohem",goodbye,",gʊd'baɪ",phr
"nazdar, ahoj, pozdrav",hello,hə'ləʊ,n
Německo,Germany,'dʒɜ:mənɪ,n
neteř,niece,ni:s,n
obchody,shops,ʃɒps,n
obtížný,difficult,'dɪfɪkəlt,adj
"opravdu, vskutku, skutečně",really,'riəli,adv
ostrý,hot,hɒt,
otec,father,'fɑ:ðə(r),n
"park, sad",park,pɑ:k,n
pátek,Friday,'fraɪdeɪ,n
"pěkný, příjemný, milý",nice,naɪs,adj
počasí,weather,'weðə(r),n
podívat se (na něco),look (at sth),lʊk,v
"podzemní dráha, metro",underground,'ʌndəgraʊnd,n
"pomalý, zdlouhavý",slow,sləʊ,adj
pondělí,Monday,'mʌndeɪ,n
